date,band,support,tour,venue,city,status,tags,rating,notes,question
2026-08-21,Avenged Sevenfold,Good Charlotte,North American Tour 2026,Dos Equis Pavilion,"Dallas, TX",missed,metal,0,"Had tickets but had to cancel last minute, sadly. Doors were 6, show 7.",
2026-08-14,Muse,,,Dos Equis Pavilion,"Dallas, TX",attended,alt rock,0,,
2026-08-12,Poppy,"LANDMVRKS, Thousand Below",Constantly Nowhere Tour,House of Blues,"Dallas, TX",attended,metal,0,"All ages. Doors 6, show 7.",
2026-07-25,The Pretty Reckless,,Dear God Tour,House of Blues,"Dallas, TX",attended,hard rock,0,,
2026-03-01,Nine Inch Nails,Boys Noize,Peel It Back,Moody Center,"Austin, TX",attended,industrial,0,Check this one: Mar 1 was Austin. The Dallas date was Mar 3 at American Airlines Center.,
2025-12-11,Sevendust,Cory Marks,Southside Double-Wide Tour,Texas Theatre,"Dallas, TX",attended,"metal, acoustic",0,Acoustic tour marking 21 years of Southside Double-Wide.,
2025-09-01,Three Days Grace,Return to Dust,Co-headline with Breaking Benjamin,Dickies Arena,"Fort Worth, TX",attended,hard rock,0,Adam Gontier back sharing vocals with Matt Walst. Breaking Benjamin closed the night.,
2025-08-28,Shinedown,"Bush, Morgan Wade","Dance, Kid, Dance Tour",Dickies Arena,"Fort Worth, TX",attended,hard rock,0,,
2025-08-18,Toto,"Christopher Cross, Men at Work",2025 American Summer Tour,The Pavilion at Toyota Music Factory,"Irving, TX",attended,classic rock,0,"Three-act bill. Set closed on Hold the Line, Rosanna and Africa.",
2025-08-15,Ghost,,Skeletour World Tour 2025,Dickies Arena,"Fort Worth, TX",attended,metal,0,Phone-free show — no photos allowed.,
2025-08-02,"""Weird Al"" Yankovic",Puddles Pity Party,Bigger & Weirder 2025,Texas Trust CU Theatre,"Grand Prairie, TX",attended,comedy rock,0,"Eight-piece band, giant video wall, multiple costume changes. Packed house.",
2025-07-28,Volbeat,"Halestorm, The Ghost Inside",Greatest of All Tours Worldwide,The Pavilion at Toyota Music Factory,"Irving, TX",attended,metal,0,Logged as Jul 29 — that was the Houston date. The DFW show was Jul 28.,
2025-06-26,Parkway Drive,"Rotating headliners: Beartooth, I Prevail, Killswitch Engage. Support: The Devil Wears Prada, The Amity Affliction, Alpha Wolf. Opener: TX2",Summer of Loud 2025,Dos Equis Pavilion,"Dallas, TX",attended,"metalcore, festival",0,Eight bands. Killswitch Engage were on this bill - your third time seeing them.,
2025-04-26,Disturbed,"Daughtry, Nothing More",The Sickness 25th Anniversary Tour,Dickies Arena,"Fort Worth, TX",attended,metal,0,"Two sets — The Sickness in full, then greatest hits.",
2024-11-08,Linkin Park,"Bad Omens, Helmet, Jean Dawson",From Zero World Tour,Globe Life Field,"Arlington, TX",attended,nu metal,0,"Logged as Nov 9 — the Arlington show was Nov 8. First tour with Emily Armstrong; sold out at 31,962.",
2024-10-02,Flat Black,Godsmack (headline),,Texas Trust CU Theatre,"Grand Prairie, TX",attended,hard rock,0,"Five weeks before the Linkin Park show. Same room as Weird Al, Tool and FFDP under its earlier names.",
